iter	Passed	Remaining
305	1658	3761
306	1661	3750
307	1662	3736
308	1664	3721
309	1665	3706
310	1666	3692
311	1678	3700
312	1679	3686
313	1680	3671
314	1681	3657
315	1683	3643
316	1691	3644
317	1692	3630
318	1694	3616
319	1695	3602
320	1696	3588
321	1697	3574
322	1714	3593
323	1722	3594
324	1724	3582
325	1725	3568
326	1726	3554
327	1728	3540
328	1729	3527
329	1741	3534
330	1742	3521
331	1743	3508
332	1745	3495
333	1754	3497
334	1755	3484
335	1756	3471
336	1757	3458
337	1759	3445
338	1760	3432
339	1773	3443
340	1775	3431
341	1776	3418
342	1784	3418
343	1786	3406
344	1787	3393
345	1789	3382
346	1790	3369
347	1791	3356
348	1793	3346
349	1795	3335
350	1797	3322
351	1798	3310
352	1804	3307
353	1806	3296
354	1807	3284
355	1809	3272
356	1810	3260
357	1811	3248
358	1812	3237
359	1825	3244
360	1826	3233
361	1828	3222
362	1838	3226
363	1840	3215
364	1841	3204
365	1843	3192
366	1844	3181
367	1858	3191
368	1860	3181
369	1869	3182
370	1873	3175
371	1874	3164
372	1879	3159
373	1882	3150
374	1894	3158
375	1896	3147
376	1914	3163
377	1923	3165
378	1927	3158
379	1929	3147
380	1944	3159
381	1947	3150
382	1955	3149
383	1957	3140
384	1959	3130
385	1971	3136
386	1975	3129
387	1977	3118
388	1989	3124
389	1990	3114
390	2007	3127
391	2009	3116
392	2019	3119
393	2020	3108
394	2022	3097
395	2023	3086
396	2024	3075
397	2036	3081
398	2038	3070
399	2039	3059
400	2040	3048
401	2048	3047
402	2051	3039
403	2053	3028
404	2054	3018
405	2055	3007
406	2068	3013
407	2069	3002
408	2070	2991
409	2071	2981
410	2082	2984
411	2083	2974
412	2085	2963
413	2086	2953
414	2087	2943
415	2089	2933
416	2091	2923
417	2092	2913
418	2103	2916
419	2104	2906
420	2106	2896
421	2120	2904
422	2122	2895
423	2137	2903
424	2139	2894
425	2170	2924
426	2218	2976
427	2220	2968
428	2223	2959
429	2226	2951
430	2228	2941
431	2229	2931
432	2231	2921
433	2241	2923
434	2243	2913
435	2245	2904
436	2246	2894
437	2247	2884
438	2254	2881
439	2257	2873
440	2259	2863
441	2260	2854
442	2273	2858
443	2276	2851
444	2278	2841
445	2288	2842
446	2290	2833
447	2292	2825
448	2309	2833
449	2321	2837
450	2323	2828
451	2325	2818
452	2353	2841
453	2355	2832
454	2357	2823
455	2361	2817
456	2366	2812
457	2369	2803
458	2371	2795
459	2373	2785
460	2383	2786
461	2386	2779
462	2388	2770
463	2401	2774
464	2415	2779
465	2420	2773
466	2433	2777
467	2435	2768
468	2436	2758
469	2448	2760
470	2449	2751
471	2451	2742
472	2453	2733
473	2458	2728
474	2460	2719
475	2461	2709
476	2471	2709
477	2473	2700
478	2474	2691
479	2475	2682
480	2476	2672
481	2487	2673
482	2489	2665
483	2491	2655
484	2492	2646
485	2497	2641
486	2501	2635
487	2503	2626
488	2504	2616
489	2505	2607
490	2506	2598
491	2508	2589
492	2517	2589
493	2519	2580
494	2520	2571
495	2521	2562
496	2522	2553
497	2528	2548
498	2532	2543
499	2534	2534
500	2535	2525
501	2537	2516
502	2538	2508
503	2551	2511
504	2553	2502
505	2555	2494
506	2565	2494
507	2566	2485
508	2568	2477
509	2569	2468
510	2570	2459
511	2582	2461
512	2583	2452
513	2585	2444
514	2586	2435
515	2594	2433
516	2595	2424
517	2596	2416
518	2598	2407
519	2599	2399
520	2600	2390
521	2601	2382
522	2608	2379
523	2610	2371
524	2611	2363
525	2613	2354
526	2614	2346
527	2616	2338
528	2617	2330
529	2624	2327
530	2625	2319
531	2626	2310
532	2628	2302
533	2629	2294
534	2631	2287
535	2641	2286
536	2643	2278
537	2644	2270
538	2645	2263
539	2647	2255
540	2652	2250
541	2654	2243
542	2657	2236
543	2711	2272
544	2718	2269
545	2720	2262
546	2723	2255
547	2883	2378
548	2891	2375
549	2905	2376
550	2918	2378
551	2950	2394
552	3077	2487
553	3079	2479
554	3147	2523
555	3177	2537
556	3179	2528
557	3183	2521
558	3204	2528
559	3206	2519
560	3208	2510
561	3210	2502
562	3224	2502
563	3226	2494
564	3228	2485
565	3242	2486
566	3271	2498
567	3274	2490
568	3285	2489
569	3287	2480
570	3290	2471
571	3291	2463
572	3297	2457
573	3300	2449
574	3302	2440
575	3303	2432
576	3314	2429
577	3319	2423
578	3320	2414
579	3333	2413
580	3336	2405
581	3349	2405
582	3352	2397
583	3359	2393
584	3361	2384
585	3362	2375
586	3364	2367
587	3368	2360
588	3375	2355
589	3377	2347
590	3379	2338
591	3381	2330
592	3398	2332
593	3400	2324
594	3422	2329
595	3423	2320
596	3425	2312
597	3426	2303
598	3429	2295
599	3443	2295
600	3445	2287
601	3451	2281
602	3453	2273
603	3455	2265
604	3457	2257
605	3460	2250
606	3484	2256
607	3488	2249
608	3502	2248
609	3504	2240
610	3506	2232
611	3601	2283
612	3638	2296
613	3853	2422
614	3903	2443
615	3907	2436
616	3912	2428
617	3916	2420
618	3966	2441
619	3970	2433
620	4004	2443
621	4006	2434
622	4016	2430
623	4020	2422
624	4105	2463
625	4139	2473
626	4304	2560
627	4305	2550
628	4318	2547
629	4321	2538
630	4333	2534
631	4335	2524
632	4337	2514
633	4351	2511
634	4396	2527
635	4399	2518
636	4402	2508
637	4419	2507
638	4429	2502
639	4431	2492
640	4433	2482
641	4435	2473
642	4445	2468
643	4447	2458
644	4460	2454
645	4462	2445
646	4465	2436
647	4477	2432
648	4479	2422
649	4492	2418
650	4494	2409
651	4559	2433
652	4561	2423
653	4562	2414
654	4564	2404
655	4574	2398
656	4576	2389
657	4588	2384
658	4590	2375
659	4591	2365
660	4592	2355
661	4594	2345
662	4595	2335
663	4605	2330
664	4607	2321
665	4608	2311
666	4619	2306
667	4620	2296
668	4621	2286
669	4623	2277
670	4624	2267
671	4640	2264
672	4643	2256
673	4646	2247
674	4647	2237
675	4649	2228
676	4650	2218
677	4652	2209
678	4664	2204
679	4668	2196
680	4692	2198
681	4697	2190
682	4698	2180
683	4700	2171
684	4729	2174
685	4730	2165
686	4732	2155
687	4747	2152
688	4749	2143
689	4761	2139
690	4763	2130
691	4813	2142
692	4814	2133
693	4819	2125
694	4821	2115
695	4823	2106
696	4838	2103
697	4851	2099
698	4853	2089
699	4855	2080
700	4869	2077
701	4871	2067
702	4881	2062
703	4883	2053
704	4886	2044
705	4894	2038
706	4897	2029
707	4898	2020
708	4899	2011
709	4901	2001
710	4909	1995
711	4912	1987
712	4913	1977
713	4915	1968
714	4916	1959
715	4918	1950
716	4920	1941
717	4929	1936
718	4933	1928
719	4935	1919
720	4947	1914
721	4949	1905
722	4951	1896
723	4959	1890
724	4962	1882
725	4964	1873
726	4966	1864
727	4979	1860
728	4982	1852
729	4991	1846
730	4992	1837
731	4994	1828
732	4995	1819
733	4996	1810
734	5010	1806
735	5012	1797
736	5021	1792
737	5025	1783
738	5026	1775
739	5028	1766
740	5030	1758
741	5031	1749
742	5033	1740
743	5040	1734
744	5041	1725
745	5043	1717
746	5044	1708
747	5046	1700
748	5055	1694
749	5056	1685
750	5058	1677
751	5061	1669
752	5063	1660
753	5073	1655
754	5076	1647
755	5078	1638
756	5088	1633
757	5090	1625
758	5091	1616
759	5093	1608
760	5094	1600
761	5101	1593
762	5102	1584
763	5104	1576
764	5105	1568
765	5108	1560
766	5115	1553
767	5116	1545
768	5118	1537
769	5119	1529
770	5124	1522
771	5131	1515
772	5138	1508
773	5139	1500
774	5150	1495
775	5151	1486
776	5152	1478
777	5153	1470
778	5154	1462
779	5156	1454
780	5163	1447
781	5168	1440
782	5170	1432
783	5188	1429
784	5191	1421
785	5192	1413
786	5194	1405
787	5195	1397
788	5198	1390
789	5208	1384
790	5209	1376
791	5210	1368
792	5212	1360
793	5213	1352
794	5218	1345
795	5224	1338
796	5226	1331
797	5237	1325
798	5238	1317
799	5240	1310
800	5242	1302
801	5254	1297
802	5257	1289
803	5258	1282
804	5270	1276
805	5271	1268
806	5273	1261
807	5280	1254
808	5283	1247
809	5284	1239
810	5286	1231
811	5287	1224
812	5288	1216
813	5299	1210
814	5300	1203
815	5301	1195
816	5303	1187
817	5304	1180
818	5310	1173
819	5313	1166
820	5314	1158
821	5315	1151
822	5317	1143
823	5319	1136
824	5328	1130
825	5330	1122
826	5331	1115
827	5332	1107
828	5334	1100
829	5339	1093
830	5341	1086
831	5342	1078
832	5344	1071
833	5345	1063
834	5347	1056
835	5349	1049
836	5359	1043
837	5360	1036
838	5362	1029
839	5364	1021
840	5365	1014
841	5373	1008
842	5377	1001
843	5378	994
844	5379	986
845	5381	979
846	5391	973
847	5392	966
848	5394	959
849	5395	952
850	5396	944
851	5401	938
852	5403	931
853	5405	924
854	5408	917
855	5409	909
856	5410	902
857	5419	896
858	5421	889
859	5422	882
860	5423	875
861	5425	868
862	5426	861
863	5433	855
864	5436	848
865	5437	841
866	5439	834
867	5440	827
868	5441	820
869	5453	814
870	5455	807
871	5456	800
872	5457	793
873	5464	787
874	5465	780
875	5467	773
876	5468	766
877	5471	760
878	5481	754
879	5484	747
880	5486	741
881	5494	735
882	5497	728
883	5500	721
884	5501	714
885	5512	709
886	5513	702
887	5514	695
888	5516	688
889	5517	681
890	5524	675
891	5527	669
892	5528	662
893	5530	655
894	5531	648
895	5542	643
896	5543	636
897	5544	629
898	5546	623
899	5547	616
900	5554	610
901	5555	603
902	5557	596
903	5558	590
904	5562	583
905	5565	577
906	5567	570
907	5569	564
908	5580	558
909	5584	552
910	5593	546
911	5596	539
912	5647	538
913	5656	532
914	5674	527
915	5679	520
916	5683	514
917	5694	508
918	5695	502
919	5697	495
920	5707	489
921	5721	483
922	5722	477
923	5724	470
924	5726	464
925	5728	457
926	5733	451
927	5755	446
928	5757	439
929	5789	435
930	5822	431
931	5835	425
932	5848	419
933	5854	413
934	6332	440
935	6349	434
936	6597	443
937	6711	443
938	6712	436
939	6714	428
940	6717	421
941	6726	414
942	6728	406
943	6729	399
944	6750	392
945	6758	385
946	6760	378
947	6761	370
948	6766	363
949	6791	357
950	6860	353
951	6880	346
952	6890	339
953	6943	334
954	6945	327
955	6954	320
956	6956	312
957	6957	305
958	6959	297
959	6983	290
960	6985	283
961	7038	278
962	7040	270
963	7042	262
964	7047	255
965	7049	248
966	7051	240
967	7053	233
968	7067	226
969	7069	218
970	7070	211
971	7076	203
972	7078	196
973	7080	189
974	7082	181
975	7083	174
976	7104	167
977	7114	160
978	7120	152
979	7136	145
980	7143	138
981	7145	130
982	7148	123
983	7166	116
984	7171	109
985	7174	101
986	7176	94
987	7178	87
988	7191	79
989	7193	72
990	7195	65
991	7196	58
992	7206	50
993	7207	43
994	7213	36
995	7222	29
996	7225	21
997	7226	14
998	7228	7
999	7229	0
